Radius (cm),Weight (grams),Fruit (class),Colour_Red,Colour_Yellow
0.7096774193548386,0.6165413533834586,Pear,0.0,0.0
0.8064516129032256,0.8421052631578947,Pear,0.0,0.0
0.3225806451612903,0.3383458646616541,Apple,0.0,0.0
0.48387096774193544,1.0,Pear,0.0,0.0
0.1290322580645161,0.18796992481203006,Lemon,0.0,0.0
0.1290322580645161,0.22556390977443608,Apple,0.0,0.0
0.19354838709677422,0.24812030075187969,Apple,0.0,0.0
0.7741935483870968,0.5263157894736842,Pear,0.0,0.0
0.1290322580645161,0.3458646616541353,Apple,0.0,0.0
0.09677419354838704,0.21052631578947367,Lemon,0.0,0.0
0.6774193548387097,0.6466165413533834,Pear,0.0,0.0
0.5161290322580645,0.45864661654135336,Apple,1.0,0.0
0.5161290322580645,0.45112781954887216,Apple,1.0,0.0
0.4193548387096773,0.3007518796992481,Apple,1.0,0.0
0.3548387096774194,0.2932330827067669,Apple,0.0,1.0
0.3225806451612903,0.21804511278195488,Lemon,0.0,1.0
0.0,0.18045112781954886,Apple,0.0,1.0
0.16129032258064516,0.13533834586466165,Lemon,0.0,1.0
0.0,0.0,Lemon,0.0,1.0
0.06451612903225798,0.15037593984962405,Lemon,0.0,1.0
0.6774193548387097,0.48872180451127817,Pear,0.0,1.0
0.3548387096774194,0.18045112781954886,Lemon,0.0,1.0
0.2580645161290322,0.09774436090225563,Lemon,0.0,1.0
0.6451612903225805,0.7142857142857143,Pear,0.0,1.0
1.0,0.7669172932330827,Pear,0.0,1.0
0.7419354838709679,0.7293233082706767,Pear,0.0,1.0
0.29032258064516125,0.43609022556390975,Apple,0.0,1.0
0.09677419354838704,0.1443609022556391,Lemon,0.0,1.0
0.6451612903225805,0.12030075187969924,Lemon,0.0,1.0
0.6451612903225805,0.3007518796992481,Apple,0.0,1.0
1.0,0.7593984962406015,Pear,0.0,1.0
0.7419354838709679,0.7142857142857143,Pear,0.0,1.0
0.1290322580645161,0.32556390977443606,Apple,0.0,0.0
